iteration,lasso_loss,ridge_loss,standard_loss
1.000000000000000000e+00,6.931471805599452862e-01,6.931471805599452862e-01,6.931471805599452862e-01
2.000000000000000000e+00,5.747549637869378003e-01,6.913973538735973534e-01,6.913973460268346694e-01
3.000000000000000000e+00,5.713353698959817706e-01,6.896961892732519361e-01,6.896961432451407248e-01
4.000000000000000000e+00,5.689969550851904367e-01,6.880420605469588224e-01,6.880419480392730991e-01
5.000000000000000000e+00,5.676274491986599280e-01,6.864333896436186633e-01,6.864331842877291479e-01
6.000000000000000000e+00,5.669521654041985714e-01,6.848686462519560925e-01,6.848683235062894559e-01
7.000000000000000000e+00,5.665894745318406089e-01,6.833463472673938499e-01,6.833458843190930443e-01
8.000000000000000000e+00,5.663856087007042017e-01,6.818650561598609272e-01,6.818644318306015251e-01
9.000000000000000000e+00,5.662573997824846828e-01,6.804233822548461097e-01,6.804225769107515864e-01
1.000000000000000000e+01,5.661742047717455151e-01,6.790199799392439006e-01,6.790189754048219228e-01
1.100000000000000000e+01,5.661187041592875557e-01,6.776535478027740922e-01,6.776523272787914332e-01
1.200000000000000000e+01,5.660744343011187008e-01,6.763228277249857534e-01,6.763213757101814716e-01
1.300000000000000000e+01,5.660379368812861189e-01,6.750266039170926824e-01,6.750249061336249801e-01
1.400000000000000000e+01,5.660066192914574579e-01,6.737637019271391914e-01,6.737617452496547088e-01
1.500000000000000000e+01,5.659801825760917282e-01,6.725329876162703391e-01,6.725307600044767575e-01
1.600000000000000000e+01,5.659580853195858019e-01,6.713333661131812846e-01,6.713308565478036671e-01
1.700000000000000000e+01,5.659414694885103181e-01,6.701637807531519719e-01,6.701609791751486078e-01
1.800000000000000000e+01,5.659281978922946488e-01,6.690232120074409705e-01,6.690201092603537125e-01
1.900000000000000000e+01,5.659174803916403595e-01,6.679106764082117786e-01,6.679072641835249735e-01
2.000000000000000000e+01,5.659088303525896535e-01,6.668252254736023454e-01,6.668214962589879002e-01
2.100000000000000000e+01,5.659018471690385743e-01,6.657659446370242096e-01,6.657618916673463394e-01
2.200000000000000000e+01,5.658962114534326071e-01,6.647319521842930401e-01,6.647275693952497955e-01
2.300000000000000000e+01,5.658916681579579944e-01,6.637223982017298463e-01,6.637176801860170672e-01
2.400000000000000000e+01,5.658880136735464639e-01,6.627364635379732194e-01,6.627314055038467933e-01
2.500000000000000000e+01,5.658851599596541604e-01,6.617733587818427354e-01,6.617679565139702458e-01
2.600000000000000000e+01,5.658833665859451800e-01,6.608323232582584694e-01,6.608265730807476590e-01
2.700000000000000000e+01,5.658820476672058453e-01,6.599126240438981661e-01,6.599065227853943005e-01
2.800000000000000000e+01,5.658810749735821988e-01,6.590135550039849521e-01,6.590070999647351657e-01
2.900000000000000000e+01,5.658803524695900089e-01,6.581344358513431247e-01,6.581276247721256079e-01
3.000000000000000000e+01,5.658798067210009108e-01,6.572746112286187437e-01,6.572674422614438461e-01
3.100000000000000000e+01,5.658793859107593693e-01,6.564334498143589158e-01,6.564259214948469090e-01
3.200000000000000000e+01,5.658790589583603259e-01,6.556103434534530372e-01,6.556024546748023818e-01
3.300000000000000000e+01,5.658788036858676262e-01,6.548047063122726108e-01,6.547964563007334649e-01
3.400000000000000000e+01,5.658786039828779257e-01,6.540159740587013770e-01,6.540073623504740752e-01
3.500000000000000000e+01,5.658784451420945105e-01,6.532436030671177063e-01,6.532346294865977177e-01
3.600000000000000000e+01,5.658783187637282941e-01,6.524870696482734100e-01,6.524777342875730524e-01
3.700000000000000000e+01,5.658782178921227812e-01,6.517458693039256401e-01,6.517361725035967224e-01
3.800000000000000000e+01,5.658781371553647244e-01,6.510195160059760733e-01,6.510094583368752907e-01
3.900000000000000000e+01,5.658780722078790015e-01,6.503075414998186199e-01,6.502971237460433152e-01
4.000000000000000000e+01,5.658780196792080330e-01,6.496094946315144059e-01,6.495987177743577368e-01
4.100000000000000000e+01,5.658779769585216002e-01,6.489249406983776947e-01,6.489138059012384829e-01
4.200000000000000000e+01,5.658779420152065809e-01,6.482534608224992390e-01,6.482419694166994262e-01
4.300000000000000000e+01,5.658779132648871224e-01,6.475946513467057963e-01,6.475828048181598851e-01
4.400000000000000000e+01,5.658778894682944260e-01,6.469481232524242342e-01,6.469359232291136408e-01
4.500000000000000000e+01,5.658778696534358943e-01,6.463135015988896726e-01,6.463009498390981378e-01
4.600000000000000000e+01,5.658778530554481323e-01,6.456904249831325604e-01,6.456775233643960998e-01
4.700000000000000000e+01,5.658778393155234898e-01,6.450785450201522719e-01,6.450652955288865842e-01
4.800000000000000000e+01,5.658778288187417127e-01,6.444775258426914677e-01,6.444639305644536131e-01
4.900000000000000000e+01,5.658778203559035047e-01,6.438870436200069269e-01,6.438731047303597466e-01
5.000000000000000000e+01,5.658778133337536431e-01,6.433067860950459904e-01,6.432925058509870730e-01
5.100000000000000000e+01,5.658778074748052056e-01,6.427364521394273167e-01,6.427218328713513174e-01
5.200000000000000000e+01,5.658778025397744882e-01,6.421757513256359795e-01,6.421607954297995358e-01
5.300000000000000000e+01,5.658777983499420072e-01,6.416244035158474857e-01,6.416091134473079771e-01
5.400000000000000000e+01,5.658777947701948419e-01,6.410821384668029532e-01,6.410665167328033487e-01
5.500000000000000000e+01,5.658777916974280231e-01,6.405486954501690144e-01,6.405327446039426054e-01
5.600000000000000000e+01,5.658777890512963760e-01,6.400238228878225577e-01,6.400075455227942633e-01
5.700000000000000000e+01,5.658777867673235873e-01,6.395072780015200742e-01,6.394906767458803376e-01
5.800000000000000000e+01,5.658777847924754134e-01,6.389988264764143722e-01,6.389819039880449969e-01
5.900000000000000000e+01,5.658777830824682775e-01,6.384982421379056250e-01,6.384810010996347929e-01
6.000000000000000000e+01,5.658777816000415406e-01,6.380053066413146068e-01,6.379877497564868660e-01
6.100000000000000000e+01,5.658777803137156059e-01,6.375198091738959461e-01,6.375019391622318565e-01
6.200000000000000000e+01,5.658777791968092608e-01,6.370415461687078951e-01,6.370233657624426726e-01
6.300000000000000000e+01,5.658777782266275480e-01,6.365703210298817583e-01,6.365518329701630451e-01
6.400000000000000000e+01,5.658777773837847525e-01,6.361059438688420054e-01,6.360871509023731107e-01
